name arrivalTime executionTime cpu
t0 4 10 2
t1 14 10 4
t2 7 5 9
t3 7 8 4
t4 5 6 4
t5 14 5 2
t6 5 5 7
t7 10 10 7
t8 1 6 6
t9 19 5 3
t10 18 10 10
t11 17 10 7
t12 13 10 3
t13 10 8 4
t14 13 9 2
t15 18 9 2
t16 3 6 6
t17 16 6 6
t18 13 8 7
t19 1 9 4
t20 6 5 7
t21 11 5 8
t22 10 8 8
t23 19 10 5
t24 4 7 10
t25 4 9 2
t26 11 5 5
t27 18 8 2
t28 15 10 8
t29 4 10 4
t30 11 5 6
t31 14 5 7
t32 15 7 1
t33 8 9 8
t34 6 6 6
t35 4 9 3
t36 5 7 5
t37 2 10 2
t38 15 6 3
t39 13 7 4
t40 19 5 9
t41 19 9 8
t42 16 10 5
t43 3 6 8
t44 9 9 5
t45 10 10 5
t46 10 10 1
t47 1 6 10
t48 9 8 5
t49 14 10 10
t50 6 9 1
t51 17 10 2
t52 4 8 8
t53 2 7 3
t54 14 10 7
t55 14 9 8
t56 11 5 5
t57 13 10 10
t58 5 7 6
t59 8 6 7
t60 2 7 5
t61 14 10 1
t62 13 5 4
t63 12 5 6
t64 6 10 4
t65 17 7 4
t66 14 9 1
t67 1 9 4
t68 6 10 8
t69 8 7 9
t70 10 9 9
t71 0 5 10
t72 10 8 1
t73 10 10 4
t74 6 10 2
t75 11 5 6
t76 11 6 4
t77 15 7 6
t78 17 7 9
t79 6 9 10
t80 2 10 10
t81 4 5 3
t82 9 8 5
t83 16 6 10
t84 8 8 9
t85 2 8 10
t86 12 9 8
t87 8 5 6
t88 12 7 6
t89 12 7 2
t90 9 10 4
t91 2 7 4
t92 12 10 2
t93 12 10 10
t94 5 8 1
t95 9 5 7
t96 2 7 10
t97 3 8 2
t98 18 10 2
t99 1 9 5
t100 0 10 4
t101 17 7 2
t102 5 7 2
t103 2 8 5
t104 6 6 6
t105 9 5 2
t106 4 5 2
t107 2 9 5
t108 9 9 9
t109 15 10 3
t110 6 6 5
t111 2 5 7
t112 7 5 1
t113 16 7 4
t114 5 6 9
t115 9 6 1
t116 17 7 8
t117 13 8 5
t118 3 8 8
t119 17 10 8
t120 1 8 2
t121 13 10 8
t122 18 9 2
t123 18 9 3
t124 0 6 9
t125 5 7 9
t126 1 7 9
t127 5 7 6
t128 9 10 3
t129 14 6 9
t130 7 5 9
t131 16 8 3
t132 9 10 9
t133 13 8 9
t134 5 6 7
t135 4 6 9
t136 18 7 6
t137 16 6 4
t138 17 6 8
t139 3 9 1
t140 16 7 9
t141 3 8 9
t142 14 5 7
t143 12 10 6
t144 16 8 6
t145 17 6 6
t146 4 9 3
t147 16 6 3
t148 15 8 8
t149 0 5 6
t150 7 9 6
t151 0 7 3
t152 15 7 9
t153 15 9 2
t154 13 5 3
t155 12 10 3
t156 0 5 8
t157 7 8 4
t158 19 8 1
t159 19 5 6
t160 16 5 1
t161 5 5 7
t162 1 5 5
t163 14 10 6
t164 16 10 3
t165 15 6 3
t166 12 10 9
t167 6 9 2
t168 14 6 10
t169 1 10 5
t170 19 7 2
t171 14 8 10
t172 18 6 5
t173 1 10 5
t174 13 6 4
t175 16 7 2
t176 3 8 4
t177 17 5 2
t178 5 10 10
t179 19 6 1
t180 12 8 7
t181 13 5 3
t182 2 6 8
t183 17 10 10
t184 10 8 10
t185 13 5 6
t186 2 9 9
t187 3 9 5
t188 7 9 5
t189 4 10 4
t190 9 6 7
t191 11 7 2
t192 10 8 5
t193 5 7 6
t194 10 10 10
t195 2 7 10
t196 1 8 9
t197 9 6 9
t198 0 6 3
t199 5 7 7
t200 15 5 1
t201 13 5 4
t202 5 9 8
t203 4 6 8
t204 15 5 10
t205 17 10 3
t206 7 8 1
t207 9 5 5
t208 14 7 8
t209 10 6 5
t210 3 8 3
t211 10 6 8
t212 16 10 10
t213 3 8 6
t214 14 8 5
t215 18 8 10
t216 3 5 5
t217 1 7 2
t218 7 10 6
t219 11 10 5
t220 0 9 5
t221 7 7 9
t222 7 5 10
t223 4 7 1
t224 10 9 9
t225 7 9 6
t226 3 6 5
t227 5 9 10
t228 2 9 10
t229 19 10 3
t230 19 10 5
t231 14 5 3
t232 13 7 10
t233 6 6 3
t234 15 7 5
t235 18 9 7
t236 9 6 8
t237 4 5 3
t238 1 5 6
t239 7 10 2
t240 2 8 8
t241 2 10 6
t242 0 5 10
t243 8 5 3
t244 15 7 8
t245 6 5 6
t246 1 5 10
t247 5 8 7
t248 10 10 4
t249 12 8 4
t250 9 10 2
t251 19 8 6
t252 14 10 7
t253 1 5 3
t254 13 9 10
t255 19 5 2
t256 8 10 6
t257 2 8 4
t258 8 9 10
t259 3 5 5
t260 2 6 7
t261 0 8 10
t262 10 5 2
t263 4 8 2
t264 8 9 7
t265 4 6 9
t266 1 5 4
t267 6 6 8
t268 4 9 5
t269 1 9 4
t270 13 7 3
t271 0 7 1
t272 0 6 1
t273 5 7 1
t274 6 5 9
t275 1 5 7
t276 18 5 8
t277 0 6 1
t278 7 8 9
t279 18 9 4
t280 15 9 8
t281 11 10 5
t282 15 5 5
t283 0 5 1
t284 14 6 6
t285 18 8 5
t286 16 10 9
t287 11 8 8
t288 18 9 3
t289 19 10 3
t290 8 5 7
t291 14 8 5
t292 17 7 3
t293 12 10 7
t294 19 10 8
t295 5 5 4
t296 2 7 4
t297 1 5 5
t298 11 6 3
t299 12 9 1
t300 2 10 1
t301 0 9 6
t302 9 6 7
t303 13 10 10
t304 1 10 3
t305 7 6 4
t306 10 9 8
t307 13 8 5
t308 12 8 8
t309 6 6 5
t310 1 9 5
t311 17 7 7
t312 4 7 1
t313 12 5 2
t314 17 6 1
t315 13 7 5
t316 10 5 7
t317 7 8 6
t318 8 10 1
t319 9 7 7
t320 10 8 7
t321 16 7 10
t322 5 6 2
t323 9 7 7
t324 15 9 10
t325 12 7 4
t326 1 10 7
t327 17 7 10
t328 2 10 3
t329 4 9 4
t330 19 5 3
t331 4 10 9
t332 19 10 2
t333 7 7 8
t334 19 6 4
t335 0 8 4
t336 16 10 1
t337 18 10 2
t338 18 7 6
t339 13 7 3
t340 6 10 9
t341 2 6 10
t342 14 7 1
t343 4 10 6
t344 6 8 6
t345 2 10 9
t346 19 9 6
t347 16 10 9
t348 10 9 10
t349 1 9 4
t350 19 10 8
t351 10 5 5
t352 6 8 9
t353 2 5 10
t354 4 5 9
t355 1 7 3
t356 19 8 3
t357 10 6 8
t358 8 10 6
t359 18 8 2
t360 7 10 10
t361 10 5 6
t362 3 10 4
t363 16 8 3
t364 16 7 6
t365 18 7 8
t366 4 8 10
t367 2 6 3
t368 0 9 5
t369 4 5 8
t370 8 10 8
t371 15 7 8
t372 5 5 10
t373 19 8 5
t374 19 8 7
t375 10 7 4
t376 1 7 5
t377 17 6 8
t378 5 7 10
t379 2 10 5
t380 19 5 5
t381 14 5 10
t382 18 5 1
t383 7 7 9
t384 17 10 1
t385 7 5 5
t386 10 10 5
t387 3 7 2
t388 8 8 1
t389 19 6 3
t390 17 10 6
t391 12 7 8
t392 17 10 3
t393 10 10 7
t394 9 9 3
t395 3 5 6
t396 14 8 10
t397 11 5 5
t398 6 9 7
t399 9 5 2
t400 3 9 5
t401 3 9 8
t402 8 8 8
t403 4 5 1
t404 0 5 5
t405 18 8 5
t406 6 8 5
t407 14 5 8
t408 5 7 6
t409 1 8 9
t410 12 10 1
t411 9 7 4
t412 18 7 4
t413 3 7 1
t414 18 10 9
t415 2 10 8
t416 2 10 2
t417 4 8 3
t418 16 6 10
t419 15 8 7
t420 5 6 7
t421 4 10 8
t422 11 7 8
t423 13 5 9
t424 12 10 8
t425 8 6 3
t426 9 6 7
t427 17 6 6
t428 5 6 10
t429 10 5 5
t430 14 7 9
t431 6 9 10
t432 3 5 7
t433 13 9 4
t434 16 7 7
t435 16 6 4
t436 12 6 1
t437 11 10 6
t438 0 10 5
t439 11 7 4
t440 0 7 8
t441 11 5 7
t442 6 6 8
t443 10 6 8
t444 16 8 2
t445 19 10 1
t446 10 6 9
t447 15 7 1
t448 16 9 7
t449 19 10 1
t450 12 9 9
t451 4 8 1
t452 8 10 8
t453 12 9 8
t454 1 7 6
t455 16 6 7
t456 14 5 8
t457 12 5 7
t458 15 10 9
t459 12 6 7
t460 0 8 9
t461 1 5 2
t462 6 7 5
t463 0 7 1
t464 15 10 8
t465 7 9 7
t466 0 7 8
t467 8 5 7
t468 4 8 1
t469 10 6 1
t470 1 10 1
t471 2 10 4
t472 15 5 5
t473 17 7 2
t474 14 9 7
t475 19 6 2
t476 19 7 7
t477 10 5 4
t478 4 5 9
t479 13 7 5
t480 5 5 3
t481 17 10 8
t482 2 5 6
t483 9 8 1
t484 14 6 9
t485 16 5 7
t486 12 9 3
t487 0 5 2
t488 9 5 6
t489 7 7 7
t490 9 8 4
t491 5 6 4
t492 7 6 8
t493 8 9 5
t494 18 6 2
t495 13 7 1
t496 2 9 8
t497 10 5 3
t498 16 8 10
t499 14 6 10
t500 8 8 4
t501 14 8 7
t502 1 7 1
t503 2 8 7
t504 4 10 5
t505 2 6 8
t506 19 8 4
t507 2 7 1
t508 7 8 9
t509 9 6 5
t510 3 7 1
t511 8 7 3
t512 9 9 7
t513 0 5 4
t514 3 7 2
t515 2 9 6
t516 16 9 7
t517 2 5 9
t518 9 5 10
t519 13 6 3
t520 12 9 1
t521 14 8 5
t522 18 7 6
t523 12 7 6
t524 18 7 4
t525 11 10 8
t526 2 9 1
t527 15 9 7
t528 5 6 6
t529 11 7 8
t530 12 8 5
t531 17 10 7
t532 0 10 7
t533 10 8 4
t534 15 6 7
t535 14 5 3
t536 12 10 8
t537 3 9 9
t538 16 10 4
t539 7 6 10
t540 11 5 9
t541 18 5 7
t542 17 9 8
t543 4 10 8
t544 11 6 5
t545 12 10 10
t546 7 7 4
t547 15 8 7
t548 6 9 1
t549 14 8 5
t550 6 10 4
t551 14 8 7
t552 17 6 4
t553 6 6 1
t554 6 5 2
t555 14 8 7
t556 11 10 7
t557 8 10 6
t558 8 7 7
t559 5 10 6
t560 7 7 7
t561 4 9 2
t562 1 9 3
t563 11 5 2
t564 11 7 5
t565 7 8 8
t566 11 7 1
t567 12 8 2
t568 2 6 5
t569 2 10 1
t570 16 6 10
t571 18 5 10
t572 15 9 1
t573 10 8 6
t574 18 10 1
t575 9 7 9
t576 17 8 2
t577 6 7 4
t578 15 5 7
t579 19 6 2
t580 13 9 7
t581 2 7 8
t582 12 6 5
t583 12 6 8
t584 12 10 8
t585 16 5 7
t586 9 8 6
t587 6 5 9
t588 16 7 4
t589 11 6 6
t590 5 6 2
t591 9 9 6
t592 14 9 8
t593 10 5 1
t594 18 10 1
t595 7 10 1
t596 13 6 1
t597 11 9 9
t598 13 9 1
t599 8 9 5
t600 13 5 9
t601 2 6 3
t602 11 10 4
t603 16 5 7
t604 0 5 2
t605 16 6 3
t606 13 6 3
t607 6 6 8
t608 10 10 2
t609 14 7 7
t610 7 5 10
t611 17 8 5
t612 5 6 8
t613 0 7 10
t614 10 8 8
t615 19 8 3
t616 9 7 8
t617 9 10 4
t618 0 7 10
t619 13 5 1
t620 2 8 1
t621 15 8 1
t622 13 7 3
t623 1 10 1
t624 8 9 10
t625 13 8 1
t626 3 5 2
t627 9 5 8
t628 6 5 3
t629 5 10 9
t630 11 10 7
t631 1 6 1
t632 13 10 7
t633 10 8 7
t634 19 6 9
t635 13 9 9
t636 6 8 7
t637 4 8 7
t638 7 6 8
t639 14 7 7
t640 4 9 4
t641 7 7 7
t642 15 9 6
t643 8 7 2
t644 10 8 1
t645 0 8 1
t646 2 6 4
t647 16 5 9
t648 16 10 8
t649 11 8 10
t650 13 10 3
t651 17 6 3
t652 16 7 6
t653 17 9 7
t654 1 10 8
t655 6 5 8
t656 15 8 6
t657 9 5 10
t658 8 8 7
t659 1 8 4
t660 0 5 4
t661 1 5 6
t662 2 6 7
t663 9 7 4
t664 12 8 9
t665 4 8 5
t666 5 10 3
t667 11 10 5
t668 16 8 3
t669 10 10 2
t670 17 10 5
t671 2 10 10
t672 2 10 2
t673 3 5 2
t674 18 5 10
t675 1 9 3
t676 7 6 4
t677 11 9 7
t678 16 9 7
t679 18 9 4
t680 1 7 7
t681 15 5 1
t682 12 6 9
t683 13 8 1
t684 17 5 3
t685 0 5 5
t686 11 8 8
t687 13 5 8
t688 6 9 2
t689 17 6 3
t690 15 8 10
t691 16 7 3
t692 15 7 10
t693 0 10 8
t694 2 6 1
t695 11 7 5
